gid	variance	mutual_info	anova_f	anova_p	fwe_alpha_5e2	fdr_alpha_5e2	fpr_alpha_5e2
ENSG00000135424	0.03071265896535892	0.019383432428703218	6.612037282434899	0.0014133758141866755	False	True	True
ENSG00000172640	0.032180344985821056	0.012574048462782539	6.7284477503050395	0.0012602961497079953	False	True	True
ENSG00000187166	0.032180344985821056	0.012574048462782539	6.7284477503050395	0.0012602961497079953	False	True	True
ENSG00000060709	0.03835279338060508	0.026913014907821164	5.922581314706438	0.0027886118552787015	False	True	True
ENSG00000196498	0.0363516818683491	0.027884889362949528	5.371673577118994	0.0048033746306445375	False	True	True
ENSG00000185046	0.036361359465454025	0.0068517189268808565	5.618030642365218	0.003766199829868771	False	True	True
ENSG00000135517	0.031173119409671338	0.014884697785731538	6.087076839529149	0.002370998807291799	False	True	True
ENSG00000176422	0.031173119409671338	0.014884697785731538	6.087076839529149	0.002370998807291799	False	True	True
ENSG00000135423	0.031173119409671338	0.014884697785731538	6.087076839529149	0.002370998807291799	False	True	True
ENSG00000076067	0.0310842571534814	0.014738601054947287	5.959535462360156	0.002688794145727838	False	True	True
ENSG00000152936	0.053921001949239634	0.04405209284881351	9.821096856249925	6.062843705906679e-05	False	True	True
ENSG00000111305	0.0770724200195894	0.045548205746688275	14.607035399649055	5.774229486578504e-07	True	True	True
ENSG00000079387	0.032180344985821056	0.012574048462782539	6.7284477503050395	0.0012602961497079953	False	True	True
ENSG00000152556	0.032180344985821056	0.012574048462782539	6.7284477503050395	0.0012602961497079953	False	True	True
ENSG00000159335	0.07398645434294528	0.04868162864751113	12.566910262881953	4.1725614873942416e-06	False	True	True
ENSG00000139546	0.030871466912533833	0.0174010661893802	6.79921320995596	0.0011754792196038949	False	True	True
ENSG00000135100	0.03257727215330685	0.0029161010853826497	3.1457305983825354	0.043530514253987206	False	False	True
ENSG00000126746	0.0730193963018772	0.04819100879925231	12.34052550757009	5.199435321230957e-06	False	True	True
ENSG00000151067	0.06652317095896496	0.043980496799442825	6.059871234717722	0.0024354667768596455	False	True	True
ENSG00000133703	0.054477062200274706	0.046309415804235865	11.78032393693846	8.966409806786269e-06	False	True	True
ENSG00000139370	0.038624807504707835	0.02871705744105313	7.629947764344378	0.0005192517731095736	False	True	True
ENSG00000151948	0.038624807504707835	0.02871705744105313	7.629947764344378	0.0005192517731095736	False	True	True
ENSG00000111641	0.07265162467733176	0.05202646281135426	11.435895261687067	1.2539336606314444e-05	False	True	True
ENSG00000186136	0.08206260013887244	0.038031558847138935	11.652654130882908	1.0153033801130949e-05	False	True	True
