p_values p_values_bf p_values_BH freq
IGH..ext..RPLP0 0.475790960895084 1 0.78073851507856 2
IGH..ext..SSR4 0.690143659331323 1 0.838909625154315 1
IGH..ext..P4HB 0.146117935548424 1 0.703332875311723 2
BMP6..TXNDC5 0.475790960895084 1 0.78073851507856 2
IGH..ext..RPL13A 0.213954898061235 1 0.75295666048473 2
IGH...HSP90B1 0.146117935548424 1 0.703332875311723 2
IGH...NEAT1 0.213954898061235 1 0.75295666048473 2
IGH...RPL13A 0.475790960895084 1 0.78073851507856 2
UBQLN2..NBDY 0.475790960895084 1 0.78073851507856 2
UBR5..AZIN1 0.777786883795167 1 0.838909625154315 2
IGH...C4B 0.690143659331323 1 0.838909625154315 1
B3GNT4..IGH..ext 0.777786883795167 1 0.838909625154315 2
BAGE2..CTBP2P1 0.475790960895084 1 0.78073851507856 2
BANK1..IGH..ext 0.475790960895084 1 0.78073851507856 2
BAZ2B..MARCH7 0.475790960895084 1 0.78073851507856 2
ATXN1..PTP4A1 0.213954898061235 1 0.75295666048473 2
IGL....C4A 0.213954898061235 1 0.75295666048473 2
IGL....CD74 0.777786883795167 1 0.838909625154315 2
IGH..ext..ZFP36 0.103500241815707 1 0.653122215595669 2
UBC..IGL...ext 0.103500241815707 1 0.653122215595669 2
IGL....NEAT1 0.475790960895084 1 0.78073851507856 2
IGL....RPL3 0.213954898061235 1 0.75295666048473 2
IGL....TXNDC5 0.475790960895084 1 0.78073851507856 2
IGL...ext..AC008038.1 0.777786883795167 1 0.838909625154315 2
IGH...FOSB 2.10282603595293e-48 1.15445149373816e-45 2.8861287343454e-46 0
IGH...ext..UBR5 0.000592635737107617 0.325357019672082 0.0271130849726735 2
IGH...ext..Z82206.1 0.322238423387682 1 0.78073851507856 1
IGH...ext..TMED9 0.475790960895084 1 0.78073851507856 2
ATP2A3..ZZEF1 0.213954898061235 1 0.75295666048473 2
IGL...ext..BANP 0.322238423387682 1 0.78073851507856 1
IGL...ext..CD74 0.475790960895084 1 0.78073851507856 2
IGL...ext..MOB1A 0.475790960895084 1 0.78073851507856 2
IGL...ext..MYO1E 0.103500241815707 1 0.653122215595669 2
IGL...ext..ITM2C 0.777786883795167 1 0.838909625154315 2
IGL...ext..GUK1 0.475790960895084 1 0.78073851507856 2
IGH...ext..RPLP0 0.475790960895084 1 0.78073851507856 2
IGH...ext..RPLP0P6 0.322238423387682 1 0.78073851507856 1
IGH...ext..RPL39P3 0.777786883795167 1 0.838909625154315 2
IGH...ext..NPEPL1 0.777786883795167 1 0.838909625154315 2
IGH...ext..PIM2 0.777786883795167 1 0.838909625154315 2
IGH...ext..PLEC 0.777786883795167 1 0.838909625154315 2
IGL..ext..BHLHE41 0.322238423387682 1 0.78073851507856 1
IGL...B2M 0.777786883795167 1 0.838909625154315 2
IGL...ext..SIL1 0.322238423387682 1 0.78073851507856 1
IGL...ext..SLC25A37 0.690143659331323 1 0.838909625154315 1
IGL...ext..TGFBR3 0.322238423387682 1 0.78073851507856 1
IGL...ext..RPL3 0.475790960895084 1 0.78073851507856 2
ARMC2..FOXO3 0.475790960895084 1 0.78073851507856 2
IGL..ext..HSP90B1 0.777786883795167 1 0.838909625154315 2
IGL..ext..MTATP6P1 0.475790960895084 1 0.78073851507856 2
