"genes"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"ENSG00000158528"	"PPP1R9A"	2.81469003669922	-2.1049306537961	9.48285599836184	3.73502493630694e-20	3.6063212107947e-18	35.0153681150372
"ENSG00000176058"	"TPRN"	-0.485309185547766	3.61285147530817	-9.47744738461417	3.91065552320064e-20	3.75200171368345e-18	34.6891815501463
"ENSG00000170464"	"DNAJC18"	-0.580763063834075	3.49201439259895	-9.47227525359966	4.08625121279535e-20	3.89581648646319e-18	34.670374609411
"ENSG00000186184"	"POLR1D"	-0.49209280577308	6.42150623816901	-9.47064175382643	4.14331542747089e-20	3.91290292370236e-18	34.3224765379345
"ENSG00000110002"	"VWA5A"	0.980798885518043	3.90985921606488	9.47028741296963	4.15579768267089e-20	3.91290292370236e-18	34.5065732302054
"ENSG00000143761"	"ARF1"	0.382787869989226	9.10937344170599	9.46690349885602	4.27689420673406e-20	4.00206415307911e-18	34.3916726212091
"ENSG00000166257"	"SCN3B"	1.77851503524331	-3.88884842561607	9.44709934397314	5.05900601658371e-20	4.70487559542285e-18	34.6740777709933
"ENSG00000131503"	"ANKHD1"	-0.315128097111479	7.76985718926891	-9.43482108176113	5.6134131066165e-20	5.18864202946338e-18	34.0477302911606
"ENSG00000050426"	"LETMD1"	-0.394787347221213	5.84576326735965	-9.42337739025742	6.18413890948244e-20	5.68153707447541e-18	33.9420846697165
"ENSG00000213190"	"MLLT11"	0.648866231446245	3.40244133364898	9.41429418118952	6.67774728968885e-20	6.09807055207188e-18	34.1362322757648
"ENSG00000173171"	"MTX1"	0.41154112455415	5.11094409657383	9.40580911953468	7.17402003353391e-20	6.51203411307428e-18	33.8274028607465
"ENSG00000163125"	"RPRD2"	0.40613186305441	6.13229875499864	9.40365364993045	7.30580136657149e-20	6.59218112594388e-18	33.7616212888612
"ENSG00000183856"	"IQGAP3"	1.17399030537848	1.55720776922985	9.39796175712886	7.66543031721297e-20	6.86862934675434e-18	34.2442079126143
"ENSG00000197121"	"PGAP1"	1.0448197394508	1.32953653724785	9.39738559278618	7.70279694536735e-20	6.86862934675434e-18	34.253128131561
"ENSG00000157985"	"AGAP1"	2.5664917599631	-0.322462272069519	9.39619148407339	7.78081519419822e-20	6.89762441689186e-18	34.2954769637744
"ENSG00000158796"	"DEDD"	0.37956071854767	5.045131414477	9.3783881987312	9.04123834890943e-20	7.96837977506501e-18	33.6048967701519
"ENSG00000167283"	"ATP5MG"	-0.478612374469487	7.78024812572756	-9.37455185586489	9.33825900071324e-20	8.18258197640532e-18	33.5433327949356
"ENSG00000158321"	"AUTS2"	1.92615704375503	-0.904138433349154	9.36297044214938	1.02948122227684e-19	8.96891140718078e-18	34.0312861510494
"ENSG00000169851"	"PCDH7"	1.94369866583397	-4.8337804024222	9.35683030238782	1.08406787809739e-19	9.39050569375903e-18	33.9034700907564
"ENSG00000105357"	"MYH14"	1.90740477271687	-4.53505550622979	9.35582295800778	1.09329301416115e-19	9.41660727367547e-18	33.9055516224228
"ENSG00000164346"	"NSA2"	-0.56243354310136	6.86513325728722	-9.3521669276875	1.12743238463283e-19	9.65578955855878e-18	33.3319649441507
"ENSG00000163362"	"INAVA"	2.0213543824222	1.92741333182193	9.3497784359217	1.15030371421232e-19	9.79632247401382e-18	33.7878222245266
"ENSG00000124302"	"CHST8"	1.65775407970222	-5.17495646938305	9.34694692309492	1.17801311852532e-19	9.97625746576837e-18	33.8102468333773
"ENSG00000129625"	"REEP5"	-0.397495526503991	7.78547342732297	-9.33390918874236	1.3143745898417e-19	1.10692246707835e-17	33.2065533702715
"ENSG00000107295"	"SH3GL2"	1.36069852854715	-4.4400044338302	9.33015139940984	1.35650174621041e-19	1.13608894866318e-17	33.6932800275696
"ENSG00000164116"	"GUCY1A1"	2.32140216636888	-0.139722244292817	9.32849556971214	1.37548645726475e-19	1.14565929701518e-17	33.7349750504696
"ENSG00000180071"	"ANKRD18A"	1.86246969021537	-4.19620165653666	9.31787497606481	1.50366828963372e-19	1.24557965041298e-17	33.6071699261161
"ENSG00000164587"	"RPS14"	-0.659513630541408	10.3878870794666	-9.31249415368238	1.57305571155597e-19	1.29597562671071e-17	33.1507196167167
"ENSG00000118276"	"B4GALT6"	1.75770586305043	-3.23113585977471	9.31023751327609	1.60309102256988e-19	1.31358144925064e-17	33.5700141643044
"ENSG00000161243"	"FBXO27"	1.9308011370772	-3.00652077819103	9.30538219901998	1.66965293924505e-19	1.36076714548471e-17	33.5360392488193
